trip_id,route_id,service_id,trip_headsign,direction_id,block_id
13657311,6612,1,2 Macdonald/To Burrard Station,0,2073289
13657312,6612,1,2 Macdonald/To Burrard Station,0,2073296
13657313,6612,1,2 Macdonald/To Burrard Station,0,2073293
13657314,6612,1,2 Macdonald/To Burrard Station,0,2073292
13657315,6612,1,2 Macdonald/To Burrard Station,0,2073289
13657316,6612,1,2 Macdonald/To Burrard Station,0,2073284
13657317,6612,1,2 Macdonald/To Burrard Station,0,2073296
13657318,6612,1,2 Macdonald/To Burrard Station,0,2073288
13657319,6612,1,2 Macdonald/To Burrard Station,0,2073293
13657321,6612,1,2 Macdonald/To Burrard Station,0,2073282
13657322,6612,1,2 Macdonald/To Burrard Station,0,2073289
13657323,6612,1,2 Macdonald/To Burrard Station,0,2073292
13657324,6612,1,2 Macdonald/To Burrard Station,0,2073287
13657325,6612,1,2 Macdonald/To Burrard Station,0,2073296
13657327,6612,1,2 Macdonald/To Burrard Station,0,2073284
13657328,6612,1,2 Macdonald/To Burrard Station,0,2073293
13657329,6612,1,2 Macdonald/To Burrard Station,0,2073285
13657331,6612,1,2 Macdonald/To Burrard Station,0,2073289
13657332,6612,1,2 Macdonald/To Burrard Station,0,2073288
13657333,6612,1,2 Macdonald/To Burrard Station,0,2073287
13657334,6612,1,2 Macdonald/To Burrard Station,0,2073282
13657335,6612,1,2 Macdonald/To Burrard Station,0,2073284
13657336,6612,1,2 Macdonald/To Burrard Station,0,2073292
13657337,6612,1,2 Macdonald/To Burrard Station,0,2073285
13657338,6612,1,2 Macdonald/To Burrard Station,0,2073293
13657339,6612,1,2 Macdonald/To Burrard Station,0,2073288
13657340,6612,1,2 Macdonald/To Burrard Station,0,2073289
13657341,6612,1,2 Macdonald/To Burrard Station,0,2073284
13657342,6612,1,2 Macdonald/To Burrard Station,0,2073282
13657343,6612,1,2 Macdonald/To Burrard Station,0,2073285
13657344,6612,1,2 Macdonald/To Burrard Station,0,2073292
13657345,6612,1,2 Macdonald/To Burrard Station,0,2073288
13657346,6612,1,2 Macdonald/To Burrard Station,0,2073293
13657347,6612,1,2 Macdonald/To Burrard Station,0,2073284
13657348,6612,1,2 Macdonald/To Burrard Station,0,2073289
13657349,6612,1,2 Macdonald/To Burrard Station,0,2073285
13657350,6612,1,2 Macdonald/To Burrard Station,0,2073282
13657351,6612,1,2 Macdonald/To Burrard Station,0,2073288
13657352,6612,1,2 Macdonald/To Burrard Station,0,2073292
13657353,6612,1,2 Macdonald/To Burrard Station,0,2073284
13657354,6612,1,2 Macdonald/To Burrard Station,0,2073293
13657355,6612,1,2 Macdonald/To Burrard Station,0,2073285
13657356,6612,1,2 Macdonald/To Burrard Station,0,2073289
13657357,6612,1,2 Macdonald/To Burrard Station,0,2073288
13657358,6612,1,2 Macdonald/To Burrard Station,0,2073282
13657359,6612,1,2 Macdonald/To Burrard Station,0,2073284
13657360,6612,1,2 Macdonald/To Burrard Station,0,2073292
13657361,6612,1,2 Macdonald/To Burrard Station,0,2073285
13657362,6612,1,2 Macdonald/To Burrard Station,0,2073293
13657363,6612,1,2 Macdonald/To Burrard Station,0,2073288
13657364,6612,1,2 Macdonald/To Burrard Station,0,2073289
13657365,6612,1,2 Macdonald/To Burrard Station,0,2073290
13657366,6612,1,2 Macdonald/To Burrard Station,0,2073284
13657367,6612,1,2 Macdonald/To Burrard Station,0,2073282
13657368,6612,1,2 Macdonald/To Burrard Station,0,2073285
13657369,6612,1,2 Macdonald/To Burrard Station,0,2073286
13657371,6612,1,2 Macdonald/To Burrard Station,0,2073288
13657372,6612,1,2 Macdonald/To Burrard Station,0,2073292
13657373,6612,1,2 Macdonald/To Burrard Station,0,2073293
13657374,6612,1,2 Macdonald/To Burrard Station,0,2073290
13657375,6612,1,2 Macdonald/To Burrard Station,0,2073291
13657377,6612,1,2 Macdonald/To Burrard Station,0,2073289
